Year_Month,count,Years,yearly_median
2018-01,24,2018,27.0
2018-02,14,2018,27.0
2018-03,17,2018,27.0
2018-04,26,2018,27.0
2018-05,28,2018,27.0
2018-06,51,2018,27.0
2018-07,47,2018,27.0
2018-08,33,2018,27.0
2018-09,35,2018,27.0
2018-10,30,2018,27.0
2018-11,21,2018,27.0
2018-12,15,2018,27.0
2019-01,25,2019,34.0
2019-02,21,2019,34.0
2019-03,20,2019,34.0
2019-04,32,2019,34.0
2019-05,50,2019,34.0
2019-06,53,2019,34.0
2019-07,44,2019,34.0
2019-08,40,2019,34.0
2019-09,35,2019,34.0
2019-10,34,2019,34.0
2019-11,33,2019,34.0
2019-12,34,2019,34.0
2020-01,25,2020,50.5
2020-02,20,2020,50.5
2020-03,25,2020,50.5
2020-04,26,2020,50.5
2020-05,60,2020,50.5
2020-06,96,2020,50.5
2020-07,90,2020,50.5
2020-08,82,2020,50.5
2020-09,68,2020,50.5
2020-10,52,2020,50.5
2020-11,49,2020,50.5
2020-12,26,2020,50.5
2021-01,34,2021,58.5
2021-02,40,2021,58.5
2021-03,47,2021,58.5
2021-04,52,2021,58.5
2021-05,75,2021,58.5
2021-06,76,2021,58.5
2021-07,86,2021,58.5
2021-08,65,2021,58.5
2021-09,68,2021,58.5
2021-10,74,2021,58.5
2021-11,49,2021,58.5
2021-12,39,2021,58.5
2022-01,35,2022,60.5
2022-02,36,2022,60.5
2022-03,41,2022,60.5
2022-04,59,2022,60.5
2022-05,64,2022,60.5
2022-06,66,2022,60.5
2022-07,90,2022,60.5
2022-08,62,2022,60.5
2022-09,63,2022,60.5
2022-10,63,2022,60.5
2022-11,43,2022,60.5
2022-12,31,2022,60.5
2023-01,55,2023,56.5
2023-02,41,2023,56.5
2023-03,41,2023,56.5
2023-04,58,2023,56.5
2023-05,79,2023,56.5
2023-06,67,2023,56.5
2023-07,87,2023,56.5
2023-08,58,2023,56.5
2023-09,44,2023,56.5
2023-10,66,2023,56.5
2023-11,34,2023,56.5
2023-12,37,2023,56.5
2024-01,38,2024,40.0
2024-02,28,2024,40.0
2024-03,35,2024,40.0
2024-04,40,2024,40.0
2024-05,52,2024,40.0
2024-06,74,2024,40.0
2024-07,64,2024,40.0
2024-08,53,2024,40.0
2024-09,25,2024,40.0
